Nome,Descrição
UNEMAT,Universidade do Estado de Mato Grosso
COPERVE - UFSC,Comissão Permanente de Vestibular - UFSC
TJ-RS,Tribunal de Justiça do Rio Grande do Sul
UNIRIO,Universidade Federal do Estado do Rio de Janeiro
IF-SE,Instituto Federal de Educação, Ciência e Tenologia - Sergipe
FUNDEC,Fundação - Paraná
IF-RS,Instituto Federal de Educação, Ciência e Tecnologia - Rio Grande do Sul
IFPI,Instituto Federal de Educação, Ciência e Tecnologia do Piauí
TJ-RO,Tribunal de Justiça de Rondônia
CONSEP,Consultoria e Estudos Pedagógicos
FIDESA,Fundação Instituto para o Desenvolvimento da Amazônia
EXATUS-PR,Promotores de Eventos e Consultoria
IF-SC,Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina
MPE-SC,Ministério Público de Santa Catarina
MPE-GO,Ministério Público de Goiás
UNITINS,Fundação Universidade do Tocantins
OFFICIUM,OFFICIUM - Assessoria, Seleção e Habilitação S/C Ltda
TJ-SC,Tribunal de Justiça de Santa Catarina
UFPel-CES,Universidade Federal de Pelotas - Centro Especializado em Seleção
UNIFAP,Universidade Federal do Amapá
SETA,Seta Consultoria e Serviços
PUC-PR,Pontifícia Universidade Católica do Paraná
MAGNUS,Magnus Auditores e Consultores
IPAD,Instituto de Planejamento e Apoio ao Desenvolvimento Tecnológico e Científico
FLUXO CONSULTORIA,Fluxo Consultoria e Treinamento em Administração Pública Ltda
FDRH,Fundação para o Desenvolvimento de Recursos Humanos - FDRH
FAPERP,Fundação de Apoio à Pesquisa e Extensão de São José do Rio Preto
FAPEU,Fundação de Apoio à Pesquisa e Extensão Universitária
ESPP,Empresa de Seleção Pública e Privada
FAT,Fundação de Apoio à Tecnologia
ASPERHS,ASPERHS Consultoria
PGT,Procuradoria Geral do Trabalho
COMAGSUL - PE,Consórcio de Municípios do Agreste e Mata Sul do Estado de Pernambuco
Instituto Avaliar,Instituto Avaliar
Instituto Exata,Instituto Exata Concurso e Assessoria
IBRB,Instituto BRB
EVO Concursos,Instituto EVO - Evolução Consultoria
Wisdom,Wisdom Cursos e Treinamentos
Instituto JK,Instituto Social da Cidadania Juscelino Kubitschek
UNIVIDA,Instituto Social Univida
INTEC,Instituto de Pesquisa, Gestão e Tecnologia - Coronel Fabriciano
ICECE,Instituto Cearense de Educação, Cultura e Ecologia
FucapSul,Instituto FucapSul de Estudos, Pesquisa e Projetos
Inovaty,Inovaty – Assessoria & Consultoria
Instituto Fênix,Fênix Instituto LTDA
SESAU de Campo Grande - MS,Secretaria Municipal de Saúde de Campo Grande
FACTO,Fundação de Apoio ao Desenvolvimento da Ciência e Tecnologia
Gama Consult,Gama Consultoria em Gestão Pública Eireli
CIM - AMUREL,O Consórcio Intermunicipal Multifinalitario dos Municípios da Amurel (CIM - AMUREL)
TJ-ES,Tribunal de Justiça do Estado do Espírito Santo
Prefeitura de Curiúva - PR,Prefeitura Municipal de Curiúva - Paraná
UNIFIMES,Centro Universitário de Mineiros - Goiás
Máxima,Máxima Auditoria, Consultoria e Treinamentos
AresPCJ - SP,Agência Reguladora dos Serviços de Saneamento das Bacias dos Rios Piracicaba, Capivari e Jundiaí
Intelectus,Intelectus Soluções Inteligentes
Instituto Abaré-eté,Instituto Abaré-eté
Prefeitura de Porto Alegre - RS,Prefeitura de Porto Alegre
TJ-AM,Tribunal de Justiça do Amazonas
ITCO,Instituto de Desenvolvimento Tecnológico do Centro Oeste
